320 1199 3 1199 320 1199 3 1199 245 2434 5572 10265 5528 44 765 252 9 320 1199 100,1,12
1494 102 21 939 1270 153 66 1990 102 21 584 48 138 278 38 45 973 137 1380,1,13
12 240 247 861 135 17 12 41 240 165 667 135 1264 12 41 240 165 861 135 12,1,21
1913 11147 35844 770 657 488 2858 3338 110 241 50 1913 3140 1890 206 2672 93 22 197 16,1,22
81 11 125 41 12 559 447 1497 1016 125 72 81 11 1516 12 559 447 1497 1478 41,1,26
4175 532 3516 4604 156 3771 19 9 618 71 4280 2030 2223 290 9 71 950 910 566 1753,1,28
32 726 1748 616 137 616 613 726 1748,1,37
37 237 94 306 70 637 3873 42 70 637 15752 42 157 96 152 442 157 888 486 2450,1,41
2982 294 224 566 450 294 154 2982 1501 84 47 2437 38 1219 95 1139 153 268,1,55
1644 17 28 181 1709 231 1147 947 456 1219 1072 17 78 880 28 1777 1709 231 1147 28,1,72
1977 303 141 179 152 141 179 1100 303 1627 11 75 81 1100 3192 201 81,1,83
3789 278 338 200 45 1264 27 2533 442 788 56 196 15 616 1637 572 572 1187 15 54,1,109
352 252 585 1293 40 10 45 31 1293 1600 1 585 352 252 551,1,115
31 12 72 102 38 102 38 48 3 9291 4867 11147 35844 35890 56 9 1133 102 3 2490,1,124
1023 11 80 114 101 1446 232 11 80 145 67 101 96 184 1523 758 519 793 261 379,1,129
1924 5429 871 4 278 84 348 84 709 639 709 824 173 728 34 94 310 146 166 396,1,136
99 27 543 177 689 151 177 256 9750 99 177 66 1066 99 27 83 18175 380 27 659,1,141
217 1418 28 213 385 152 28 4 217 213 385 2930 160 67 5 67 5 4 217 28,1,165
4050 257 7 2172 9 701 143 8516 1870 910 566 1723 126 3380 4007 257 7 350 153 716,1,166
2132 298 1175 1264 2132 298 1488 38 298 57 259 1210 112 112 1210 112 1210 479 15 2450,1,178
162 2132 111 1794 868 27 172 2132 111 1794 27 868 27 566 661 130 27 114 27 310,1,189
601 109 578 970 217 152 503 442 613 172 28 184 11 2109 109 601 28 578 970 217,1,193
17 1667 96 442 96 442 613 1667 96 237 12 950 583 96 832 3543 190 1007 680 124,1,195
139 39 1110 340 293 190 43 850 105,1,198
17 253 57 85 492 96 253 17 253 57 85 492 96 253,1,201
320 84 1516 526 84 333 1516 526 239 48 3656 9 67 2107 1516 526 8 263 63 362,1,208
488 5149 2172 162 660 47461 2401 38 181 391 2474 1059 1447 854 127 594 1387 615 35 5838,1,210
295 180 3382 101 568 130 148 313 617 184 11 237 1027 2843 1029 408 148 313 214 162,1,229
1219 11901 1121 36 1219 45 433 499 3617 564 204 1121 196 204 516 2 2215 15 519 4406,1,239
768 51 4692 81 421 61 3279 3395 81 144 130 9753 11492 70 306 81 144 187 4692 9753,1,241
87 3717 163 189 695 163 57 163 3304 3325 137 87 3717 163 96 57 183 417 189 57,1,243
5620 140 184 597 50 272 281 18 674 597 286,1,283
10 1167 10 1167 151 417 252 40,1,290
