6656 251 12 21 4 12 3 98 18 434 1 41 774 4 125 72 167 1 146 257,1,164742
1985 6011 15541 920 1206 57307 8955 15541 920 16778 271 1206 10791 3466 1206 57308 4596 1985 4520 9600,1,50150
1985 4520 9321 1842 10305 1481 96 154 18510 301 1014 1266 759 154 31 24 510 82 5160 113,1,70421
233 44 1101 3 244 368 596 978 1199 3 152 119 1199 3 744 67 41 35 368 596,1,307868
1173 10280 304 1551 873 2373 1751 68 304 1335 1014 1 1551 4065 304 1143 829 966 14789 1335,1,82350
768 11 2485 445 104 182 1641 768 11 2938 14622 2485 445 1 16 17 66 9297 10546 4052,1,15907
6763 121 53 203 6763 121 53 203 790 2819 3328 53 1052 7932 569 564 121 363 206 4736,1,27075
149 50 798 2884 53 212 4893 17582 811 6501 4 12 95 5638 188 31 628 128 118 35,1,285232
1055 737 1573 16735 14583 11 4 87 641 192 743 72 873 11 1 3985 4 26778 434 16735,1,342777
3640 8415 134 297 561 93 367 66 284 2529 359 125 912 92 259 187 297 196 1105 47199,1,69773
1078 1295 7666 1815 2 869 906 43 52 268 1078 1295 3566 8074 6332 437 46 1158 587 2666,1,56082
1559 354 144 57 180 144 4330 223 10634 499 45 62 232 201 1559 354 144 2595 963 4,1,271550
57320 1937 639 79 37 1388 1532 4737 639 552 17 1 37 1 59 42 6 59 42 164,1,269801
3314 3187 73 116 85 206 116 68 996 157 13 13 182 46 3314 3187 15 73 1821 439,1,248994
2080 395 135 12 47 152 190 1007 3 2080 677 53 2080 395 232 35 135 12 47 125,1,251434
3789 529 216 2293 3 12 21 9 2097 272 864 1238 9 422 737 159 2293 3 1377 2157,1,298174
745 1181 2516 1 244 1 156 1300 465 9 471 75 8 1970 6611 1239 1054 3947 250 745,1,187383
726 478 474 444 2794 726 478 1129 6177 702 62 474 163 2468 1570 42 5323 1834 21 7451,1,128665
217 1930 1624 10 4 158 1288 87 192 11 1060 319 607 302 215 170 319 9066 121 680,1,114120
294 154 2684 145 1293 1680 35 483 25389 1293 927 185 277 840 52 2 75 185 1682 7350,1,243685
297 1174 103 357 5598 876 1817 57325 12195 312 1283 856 56 222 22 179 68 297 852 26,1,54051
3029 3583 796 2167 181 175 3029 1749 6241 1749 3029 3583 590 242 651 94 9490 1368 6829 36,1,19906
148 2687 2298 69 1291 374 875 93 62 143 48 140 56 9 160 3494 4 12 159 1535,1,142208
519 46 1026 1075 320 156 4055 17718 1580 1075 910 139 1075 89 342 281 183 253 89 185,1,23091
697 192 119 612 101 237 2896 612 192 348 771 192 4 3066 119 612 101 4 771 697,1,332152
1118 8273 10 355 5896 4224 777 3350 10 355 1 26 435 18 41 355 5896 6 26 1550,1,223277
3335 8775 66 789 72 101 919 156 899 8775 138 789 163 206 66 1251 458 1264 5150 22,1,280760
2134 4581 240 1 1 4 12 240 1 3 1340 2026 1 157 2026 19509 2 72 1294 358,1,228186
17 84 410 368 15 2176 786 348 3084 2262 17 84 410 368 15 2176 786 348 3084 2262,1,775
3146 10 163 3542 540 300 9 156 5357 75 1073 268 3146 10 1294 358 72 101 349 164,1,12920
85 936 43 1085 1362 2336 18 362 1393 523 13 39 6 366 371 2655 497 32 105 1913,1,41609
